Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
IN,,Film & Animation,Cluster 3,India,Jul,2011,01-07-2011,Green Gold TV - Official Channel,Green Gold TV - Official Channel,Film & Animation,Green Gold TV - Official Channel,13.893150685,1,28.1,0,0,20.593684,78.96288,0,0,0,20000000,1366417754,405,20000000,100000,1,5.36,1476,471031528,9715291883,70278000
BR,,Music,Cluster 1,Brazil,Nov,2010,09-11-2010,Gusttavo Lima Oficial,Gusttavo Lima Oficial,Music,Gusttavo Lima Oficial,14.534246575,9,51.3,859200,10300000,-14.235004,-51.92528,53700,644400,10300000,19900000,212559417,406,19900000,100000,1,12.08,416,183241641,13917423958,214803000
DE,,Science & Technology,Cluster 4,Germany,Sep,2011,06-09-2011,HaerteTest,HaerteTest,Science & Technology,HaerteTest,13.709589041,6,70.2,22600,271200,51.165691,10.451526,1400,17000,271200,19800000,83132799,407,19800000,200000,1,3.04,1411,64324835,3234880084,5650000
US,,People & Blogs,Cluster 1,United States,Dec,2017,03-12-2017,Crafty Panda,Crafty Panda,People & Blogs,Crafty Panda,7.463013699,3,88.2,24500,294600,37.09024,-95.712891,1500,18400,294600,19800000,328239523,408,19800000,100000,1,14.7,760,270663028,5759442450,6137000
US,,News & Politics,Cluster 1,United States,Nov,2013,16-11-2013,TIME NEWS,TIME NEWS,News & Politics,SOMOY TV,11.512328767,16,88.2,65,779,37.09024,-95.712891,4,49,779,19800000,328239523,409,19800000,200000,1,14.7,9930,270663028,12293479945,16229
US,,Comedy,Cluster 1,United States,Feb,2010,16-02-2010,JennaMarbles,JennaMarbles,Comedy,JennaMarbles,15.263013699,16,88.2,15100,180900,37.09024,-95.712891,942,11300,180900,19700000,328239523,410,19700000,200000,1,14.7,250,270663028,1803249241,3769000
US,,Film & Animation,Cluster 1,United States,Oct,2011,06-10-2011,OfficialPinkPanther,OfficialPinkPanther,Film & Animation,Official Pink Panther,13.627397260,6,88.2,0,0,37.09024,-95.712891,0,0,0,19700000,328239523,412,19700000,200000,1,14.7,1,270663028,10955619815,71118000
GB,,Entertainment,Cluster 4,United Kingdom,Apr,2008,12-04-2008,Britain's Got Talent,Britain's Got Talent,Entertainment,Britain's Got Talent,17.112328767,12,60,216800,2600000,55.378051,-3.435973,13500,162600,2600000,19700000,66834405,413,19700000,100000,1,3.85,4225,55908316,11323617496,54192000
GB,,Entertainment,Cluster 4,United Kingdom,Mar,2006,25-03-2006,SCTV,SCTV,Entertainment,SCTV,19.164383562,25,60,1,16,55.378051,-3.435973,0.08,1,16,19700000,66834405,414,19700000,200000,1,3.85,267,55908316,9808676159,336
US,,Gaming,Cluster 1,United States,Mar,2009,05-03-2009,ASGaming,ASGaming,Gaming,AS Gaming,16.216438356,5,88.2,0.09,1,37.09024,-95.712891,0.01,0.07,1,19600000,328239523,415,19600000,200000,1,14.7,17,270663028,2851024430,23
US,,Shows,Cluster 1,United States,Nov,2013,13-11-2013,Sony AATH,Sony AATH,Shows,Sony AATH,11.520547945,13,88.2,1100000,13200000,37.09024,-95.712891,68600,822600,13200000,19600000,328239523,416,19600000,300000,1,14.7,18661,270663028,13930021471,274212000
TR,,Entertainment,Cluster 2,Turkey,Apr,2020,17-04-2020,tabii Urdu,tabii Urdu,Entertainment,tabii Urdu,5.090410959,17,23.9,443200,5300000,38.963745,35.243322,27700,332400,5300000,19600000,83429615,417,19600000,100000,1,13.49,1306,63097818,8779729549,110806000
US,,Film & Animation,Cluster 1,United States,Jun,2016,06-06-2016,DaFuq!?Boom!,DaFuq!?Boom!,Film & Animation,DaFuq!?Boom!,8.956164384,6,88.2,9200000,110600000,37.09024,-95.712891,576000,6900000,110600000,19600000,328239523,418,19600000,6700000,1,14.7,214,270663028,7906181776,2304000000
US,,Gaming,Cluster 1,United States,Jan,2013,31-01-2013,Clash of Clans,Clash of Clans,Gaming,Clash of Clans,12.304109589,31,88.2,89200,1100000,37.09024,-95.712891,5600,66900,1100000,19600000,328239523,419,19600000,200000,1,14.7,674,270663028,3961318438,22292000
IN,,Entertainment,Cluster 3,India,Mar,2014,14-03-2014,RKD Studios,RKD Studios,Entertainment,RKD Studios,11.189041096,14,28.1,0,0,20.593684,78.96288,0,0,0,19500000,1366417754,420,19500000,300000,1,5.36,847,471031528,5234251168,59841000
IN,,News & Politics,Cluster 3,India,Jul,2017,05-07-2017,DLS News,DLS News,News & Politics,DLS News,7.876712329,5,28.1,128400,1500000,20.593684,78.96288,8000,96300,1500000,19400000,1366417754,421,19400000,100000,1,5.36,4750,471031528,2255542592,32111000
MX,,People & Blogs,Cluster 2,Mexico,Sep,2017,15-09-2017,JukiLop,JukiLop,People & Blogs,JukiLop,7.679452055,15,40.2,9500,114300,23.634501,-102.552784,595,7100,114300,19400000,126014024,422,19400000,100000,1,3.42,85,102626859,1577859332,2382000
IN,,Entertainment,Cluster 3,India,Mar,2010,15-03-2010,etvteluguindia,etvteluguindia,Entertainment,etvteluguindia,15.189041096,15,28.1,1100000,13100000,20.593684,78.96288,68200,818800,13100000,19400000,1366417754,423,19400000,200000,1,5.36,125974,471031528,23038014291,272917000
CH,,Sports,Cluster 4,Switzerland,Sep,2006,06-09-2006,FIFA,FIFA,Sports,FIFA,18.712328767,6,59.6,235500,2800000,46.818188,8.227512,14700,176600,2800000,19400000,8574832,424,19400000,100000,1,4.58,10728,6332428,5529131886,58863000
